cve_id,hash,repo_url,fix_date,introduced_date
RUSTSEC-2021-0004,f6d9bc6e8f6ad7f0d949a444a1c1d91d6d837e6,https://github.com/khuey/lazy-init,2021-01-08 04:01:59+01:00,2017-01-27 19:14:10-08:00
GHSA-69gw-hgj3-45m7,50a50ed90d6ad78d812a40680257d8338843869,https://github.com/servo/rust-smallvec,2019-06-06 13:29:53-07:00,
RUSTSEC-2021-0090,ea809ba4ae37c4b0de54158e05699f1907c9e83,https://github.com/ash-rs/ash,2021-08-23 12:16:31+02:00,2018-12-07 17:46:49-08:00
GHSA-gffv-5hr2-f9gj,ffa2e8d54e4701e4d1f11fcfa5e1497ed6d4c8d,https://github.com/orion-rs/orion,2018-12-20 18:01:39+01:00,2018-08-20 11:17:56+02:00
GHSA-9rg7-3j4f-cf4x,9803f31fbd1717d482d848f041044d061fca6da,https://github.com/Connicpu/com-impl,2021-01-22 19:42:30+01:00,
GHSA-mcrf-7hf9-f6q5,8559aee7c5485426e3d5f7cfb7368248b6ca437,https://github.com/3Hren/msgpack-rust,2019-10-08 18:33:23+02:00,2016-12-04 23:12:47+03:00
GHSA-9mxw-4856-9cm5,cb068895ca2aa236ad8bc858c80b2209cbc4f04,https://github.com/a1ien/rusb,2020-12-22 19:28:00+03:00,2019-08-11 20:21:14+03:00
RUSTSEC-2019-0028,c66cd3085742c50ae231c77f1bc5b577d0cceb9,https://github.com/google/flatbuffers,2019-10-06 22:08:13-05:00,2018-09-02 18:26:55-07:00
GHSA-p9m5-3hj7-cp5r,b3356ccba102cffa2c63cb61be5b704a29c474b,https://github.com/rust-lang/futures-rs,2020-03-05 14:41:09+01:00,2019-02-19 13:45:38-08:00
GHSA-hhw2-pqhf-vmx2,3f733cd056098d5e8de6ae8da40950500edc881,https://github.com/actix/actix-net,2020-07-20 19:02:54+09:00,2018-10-02 22:18:07-07:00
RUSTSEC-2020-0121,34c2b9e51cd7b85a3366104092ca4e5e9fab227,https://github.com/SonicFrog/abox,2021-01-22 21:40:32-05:00,2018-05-14 17:08:08+02:00
GHSA-xrg3-hmf3-rvgw,e1720ce38452c7f94d2ff32d2c120d7d427e2eb,https://github.com/pyrossh/rust-embed,2021-11-27 15:40:07-08:00,2021-07-04 09:35:36-04:00
RUSTSEC-2020-0048,dede6fef9a50650efdd1ee36b2466911cc1b195,https://github.com/actix/actix-web,2020-01-28 18:02:56-05:00,2018-11-13 22:59:00-08:00
RUSTSEC-2019-0023,04731e101fed08a32942d52790e1c8c6ede6188,https://github.com/Robbepop/string-interner,2019-08-25 21:55:14+09:00,2017-07-09 05:01:38+02:00
RUSTSEC-2021-0035,ae13bdac8b95966a4fdef3b17aa6d2096799f7c,https://github.com/quinn-rs/quinn,2021-01-26 18:03:29+01:00,2021-01-06 09:57:13+01:00
RUSTSEC-2021-0035,cd64316558c7faffc7e3669298e81dc9289ac22,https://github.com/quinn-rs/quinn,2021-01-28 07:18:21+01:00,2019-11-21 11:26:36+01:00
RUSTSEC-2019-0015,eb413b3d47baea8e8a0b9ce2ccd8299b354d3b7,https://github.com/llogiq/compact_arena,2019-05-27 09:41:08+02:00,2019-04-06 01:19:38+02:00
RUSTSEC-2020-0117,1e462c32e7933821ddb26dc49fd4ffa5aeca97b,https://github.com/longshorej/conqueue,2021-01-22 00:23:47-05:00,2019-07-30 18:35:56-05:00
RUSTSEC-2021-0130,416a2d480547f6b88ef6d23aa34b1fea292f65f,https://github.com/jeromefroe/lru-rs,2021-12-12 17:13:20-05:00,2021-07-26 23:33:35+08:00
GHSA-4cww-f7w5-x525,3850b645a89666f3efa84c47fad17976e4702c0,https://github.com/bluejekyll/trust-dns,2020-01-04 12:41:59-08:00,2019-04-13 16:49:12-07:00
GHSA-cgmg-2v6m-fjg7,565d508993936821950009ec4c7c1e33301db81,https://github.com/mersinvald/autorand-rs,2021-01-18 17:02:18+01:00,2019-04-01 02:13:04+02:00
GHSA-r88h-6987-g79f,15b282877d1e576de2b337d8162bbf43ed1a0f2,https://github.com/Chopinsky/byte_buffer,2020-12-03 20:36:53-05:00,2019-08-16 11:39:44-05:00
RUSTSEC-2020-0120,a34d6e10f6f5654ed01a35288cf683d014ebc9c,https://github.com/mvertescher/libsbc-rs,2021-01-22 21:06:34-05:00,2018-09-17 14:26:03-04:00
RUSTSEC-2021-0113,8e6daabbc6fb14972a9db5fc94f06801b2d41c2,https://github.com/metrics-rs/metrics,2021-04-07 21:48:06-04:00,2019-05-29 23:07:14-04:00
RUSTSEC-2020-0123,5ba266a853bc8232993c84fe736cb87241f9506,https://github.com/libp2p/rust-libp2p,2021-01-25 18:55:01+01:00,2019-09-16 11:08:44+02:00
GHSA-mpg5-fvwp-42m2,1f3709632dccdfd49cbcb152a2f81b95c0b1a3e,https://github.com/xacrimon/dashmap,2022-02-06 17:39:23+01:00,2020-11-12 15:05:00-08:00
GHSA-mpg5-fvwp-42m2,fbb6ffb1d70ae520889062728476d7d607c9309e,https://github.com/xacrimon/dashmap,2022-02-06 16:37:18+01:00,2019-12-06 22:55:51+01:00
RUSTSEC-2020-0115,b0d2bd20eb40b9cbc2958b981ba2dcd9e6f9396,https://github.com/RusPiRo/ruspiro-singleton,2020-11-16 21:32:29+01:00,2019-07-26 13:48:23+02:00
GHSA-wgrg-5h56-jg27,14ee7a6f775c5018e71521b52b3c24de8a82c90,https://github.com/vitalyd/nix,2021-09-27 09:55:59-04:00,2017-11-12 10:56:58+02:00
GHSA-fg7r-2g4j-5cgr,c8f82d45060c9e936ab49cd3838135208de0924,https://github.com/tokio-rs/tokio,2021-11-12 09:58:46-08:00,2019-01-22 11:37:26-08:00
RUSTSEC-2020-0006,d08bc37de3dd471ea564a954a2de1d0caf045f6,https://github.com/fitzgen/bumpalo,2020-03-24 14:04:59-07:00,2019-11-01 13:43:10-07:00
RUSTSEC-2020-0114,0562cbfe79f68e061628e5cf0d29d9f879b6913,https://github.com/video-audio/va-ts,2021-01-19 22:11:44-05:00,2019-09-08 19:43:31+03:00
GHSA-xp6v-qx65-4pp7,e7fb2f5b5f95437a37d99b8c430c8adc9045f35,https://github.com/Devolutions/gfwx-rs,2020-12-08 13:26:10-05:00,2018-12-07 01:15:40+02:00
GHSA-9j8q-m9x5-9g6j,ef4aa05cdd3b81ae9f8a42acd211e95530b1ab7,https://github.com/google/rust-async-coap,2021-01-22 22:42:29-05:00,2019-08-21 13:29:53-07:00
RUSTSEC-2021-0070,5bff5368bf38ddfa31416e4ae9897b163031a51,https://github.com/dimforge/nalgebra,2021-05-06 18:16:42+02:00,2017-02-15 22:04:34+01:00
GHSA-69vj-xx27-g45w,55dd22f447492e272b75230c3d8108faa10c6fc,https://github.com/petabi/eventio,2020-12-22 14:43:58-08:00,2019-11-06 16:45:15-08:00
RUSTSEC-2022-0012,5f8e17b1c144e49d244e4e15b985ffa498c4ede,https://github.com/jorgecarleitao/arrow2,2022-03-04 04:19:03+00:00,2022-02-22 19:43:59+01:00
